RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Texas A&M,2450,613,1620,405,830,207.5,221,55.3
2,Marshall,2387,597,1243,310.8,1144,286,182,45.5
3,Arizona,2375,594,1463,365.8,912,228,155,38.8
4,Alabama,2350,588,1343,335.8,1007,251.8,168,42
5,East Carolina,2326,582,1568,392,758,189.5,173,43.3
6,Nebraska,2239,560,923,230.8,1316,329,141,35.3
7,Oregon,2221,555,1320,330,901,225.3,194,48.5
8,West Virginia,2206,552,1607,401.8,599,149.8,122,30.5
9,Washington State,2170,543,1987,496.8,183,45.8,141,35.3
10,Mississippi State,2150,538,1067,266.8,1083,270.8,165,41.3
11,Toledo,2109,527,1091,272.8,1018,254.5,146,36.5
12,Georgia Southern,2070,518,642,160.5,1428,357,172,43
13,North Carolina State,2008,502,1013,253.3,995,248.8,161,40.3
14,Oklahoma,1980,495,1089,272.3,891,222.8,179,44.8
15,Duke,1967,492,923,230.8,1044,261,141,35.3
16,Baylor,1963,654,1248,416,715,238.3,178,59.3
17,Northern Illinois,1955,489,856,214,1099,274.8,99,24.8
18,Arkansas,1938,485,640,160,1298,324.5,195,48.8
19,Old Dominion,1870,468,1206,301.5,664,166,137,34.3
20,Boise State,1866,467,1093,273.3,773,193.3,122,30.5
21,Buffalo,1851,463,1216,304,635,158.8,134,33.5
22,Boston College,1842,461,497,124.3,1345,336.3,127,31.8
23,Bowling Green,1833,458,1152,288,681,170.3,141,35.3
24,Middle Tennessee,1830,458,1001,250.3,829,207.3,135,33.8
25,Georgia State,1827,457,1326,331.5,501,125.3,121,30.3
26,Western Kentucky,1826,609,1459,486.3,367,122.3,140,46.7
27,Colorado,1799,450,1159,289.8,640,160,103,25.8
28,BYU,1797,449,876,219,921,230.3,117,29.3
29,Georgia Tech,1778,445,610,152.5,1168,292,145,36.3
,Navy,1778,445,398,99.5,1380,345,107,26.8
31,Penn State,1773,443,1318,329.5,455,113.8,108,27
32,Pittsburgh,1772,443,554,138.5,1218,304.5,112,28
33,South Carolina,1770,443,1140,285,630,157.5,147,36.8
34,LSU,1751,438,983,245.8,768,192,144,36
35,New Mexico State,1735,434,1067,266.8,668,167,121,30.3
36,Illinois,1719,430,1286,321.5,433,108.3,115,28.8
37,Missouri,1715,429,973,243.3,742,185.5,152,38
38,Fresno State,1681,420,975,243.8,706,176.5,96,24
39,Washington,1672,418,715,178.8,957,239.3,149,37.3
40,Indiana,1641,547,710,236.7,931,310.3,101,33.7
41,Virginia Tech,1625,406,1060,265,565,141.3,114,28.5
42,Rutgers,1622,406,912,228,710,177.5,120,30
43,Arizona State,1617,539,704,234.7,913,304.3,134,44.7
,Michigan,1617,404,773,193.3,844,211,96,24
45,Texas State,1614,538,886,295.3,728,242.7,121,40.3
46,Maryland,1604,401,951,237.8,653,163.3,137,34.3
47,Tulane,1594,399,891,222.8,703,175.8,94,23.5
48,Miami (FL),1583,396,1093,273.3,490,122.5,126,31.5
49,California,1568,523,1006,335.3,562,187.3,131,43.7
50,Ole Miss,1559,520,1094,364.7,465,155,132,44
51,Louisville,1557,389,1011,252.8,546,136.5,152,38
52,Louisiana Tech,1549,387,1026,256.5,523,130.8,133,33.3
53,Western Michigan,1545,515,712,237.3,833,277.7,114,38
54,Houston,1544,386,886,221.5,658,164.5,101,25.3
55,Ohio,1542,386,880,220,662,165.5,70,17.5
56,Colorado State,1538,513,1020,340,518,172.7,104,34.7
57,Wisconsin,1530,510,451,150.3,1079,359.7,92,30.7
58,Michigan State,1527,509,857,285.7,670,223.3,145,48.3
59,Arkansas State,1523,381,880,220,643,160.8,90,22.5
60,UAB,1521,507,875,291.7,646,215.3,123,41
61,Virginia,1520,380,937,234.3,583,145.8,121,30.3
62,UNLV,1518,380,916,229,602,150.5,43,10.8
63,Kentucky,1508,503,961,320.3,547,182.3,109,36.3
64,Memphis,1494,498,766,255.3,728,242.7,105,35
65,Texas Tech,1493,498,982,327.3,511,170.3,86,28.7
66,Louisiana-Lafayette,1490,373,804,201,686,171.5,87,21.8
67,Utah State,1475,369,859,214.8,616,154,97,24.3
68,Air Force,1474,491,469,156.3,1005,335,105,35
69,Auburn,1447,482,659,219.7,788,262.7,124,41.3
70,Ball State,1445,361,774,193.5,671,167.8,86,21.5
71,Iowa,1442,361,916,229,526,131.5,89,22.3
72,Clemson,1433,478,976,325.3,457,152.3,103,34.3
73,Miami (OH),1425,356,1104,276,321,80.3,71,17.8
74,Hawaii,1419,355,823,205.8,596,149,85,21.3
75,Georgia,1414,471,502,167.3,912,304,146,48.7
76,Wyoming,1407,352,819,204.8,588,147,68,17
77,Purdue,1404,351,817,204.3,587,146.8,109,27.3
78,Utah,1401,467,824,274.7,577,192.3,141,47
79,Florida,1387,462,784,261.3,603,201,122,40.7
80,Ohio State,1375,458,789,263,586,195.3,121,40.3
81,Rice,1374,458,709,236.3,665,221.7,69,23
82,Syracuse,1373,458,578,192.7,795,265,64,21.3
83,Minnesota,1344,336,399,99.8,945,236.3,108,27
84,UCLA,1341,447,864,288,477,159,90,30
85,Oregon State,1340,447,903,301,437,145.7,95,31.7
86,USC,1329,443,876,292,453,151,96,32
87,Oklahoma State,1321,440,792,264,529,176.3,114,38
88,New Mexico,1313,438,264,88,1049,349.7,83,27.7
89,Troy,1301,325,894,223.5,407,101.8,62,15.5
90,Nevada,1300,433,734,244.7,566,188.7,80,26.7
,UTEP,1300,433,358,119.3,942,314,99,33
92,Southern Miss,1290,323,895,223.8,395,98.8,59,14.8
93,Stanford,1289,430,813,271,476,158.7,90,30
94,Florida State,1288,429,959,319.7,329,109.7,97,32.3
95,Tulsa,1283,428,941,313.7,342,114,66,22
96,North Carolina,1276,425,792,264,484,161.3,86,28.7
97,Appalachian State,1273,424,636,212,637,212.3,100,33.3
98,Idaho,1267,422,1039,346.3,228,76,72,24
99,Notre Dame,1254,418,780,260,474,158,109,36.3
100,North Texas,1252,313,500,125,752,188,148,37
101,Kansas State,1234,411,722,240.7,512,170.7,101,33.7
102,Massachusetts,1185,296,935,233.8,250,62.5,83,20.8
103,South Florida,1172,293,567,141.8,605,151.3,87,21.8
104,Florida Atlantic,1159,290,632,158,527,131.8,76,19
105,Central Michigan,1150,288,706,176.5,444,111,71,17.8
106,Vanderbilt,1134,284,657,164.3,477,119.3,78,19.5
107,Akron,1133,378,859,286.3,274,91.3,61,20.3
108,San Diego State,1123,374,652,217.3,471,157,72,24
,Kansas,1123,374,522,174,601,200.3,61,20.3
