,TEAM,YDSG,P YDSG,R YDSG,Winning Percentage,YDSAG,NETPUNT,PUNTRETAVG,Winning Record
0,Baylor,619,359.1,259.7,0.846153846,360.0,38.4,9.1,Yes
1,Oregon,565,291.5,273.5,0.846153846,370.0,38.5,12.8,Yes
2,Northern Illinois,520,222.6,297.2,0.857142857,415.0,37.0,8.1,Yes
3,Florida State,519,315.9,203.1,1.0,281.0,34.5,10.0,Yes
4,Ohio State,512,203.3,308.6,0.857142857,377.0,40.8,8.4,Yes
5,Fresno State,546,394.8,151.3,0.846153846,431.0,40.7,11.6,Yes
6,Auburn,501,173.0,328.3,0.857142857,421.0,40.5,13.1,Yes
7,Marshall,500,294.4,205.9,0.7142857140000001,369.0,35.7,12.3,Yes
8,Texas A&M,538,353.3,185.1,0.692307692,476.0,40.7,7.4,Yes
9,Missouri,491,252.9,237.9,0.857142857,418.0,36.6,6.7,Yes
10,Texas Tech,511,392.8,118.2,0.615384615,419.0,34.7,6.8,Yes
11,Clemson,508,333.1,174.6,0.833333333,357.0,37.7,8.3,Yes
12,Colorado State,471,266.4,204.4,0.571428571,416.0,35.0,13.3,Yes
13,Washington,499,260.3,239.0,0.692307692,389.0,38.1,5.5,Yes
14,Bowling Green,459,266.1,193.4,0.7142857140000001,321.0,37.1,14.3,Yes
15,BYU,494,226.3,267.3,0.615384615,379.0,34.6,9.3,Yes
16,Arizona State,457,265.9,191.4,0.7142857140000001,372.0,33.2,5.7,Yes
17,Georgia,484,314.2,169.9,0.615384615,376.0,39.2,2.9,Yes
18,Wisconsin,481,197.1,283.8,0.692307692,305.0,35.7,7.4,Yes
19,Ball State,477,324.2,152.9,0.7692307690000001,414.0,37.2,4.7,Yes
20,Boise State,476,277.7,198.3,0.615384615,413.0,39.6,15.7,Yes
21,Ole Miss,473,283.3,190.0,0.615384615,370.0,37.7,7.1,Yes
22,Cincinnati,472,303.6,168.5,0.692307692,316.0,33.0,5.6,Yes
23,Indiana,509,306.7,201.8,0.41666666700000005,528.0,37.1,13.0,No
24,East Carolina,468,328.1,140.1,0.7692307690000001,369.0,36.6,10.3,Yes
25,Oregon State,467,372.6,94.4,0.538461538,437.0,36.7,5.7,Yes
26,Louisville,461,314.0,146.8,0.923076923,252.0,37.4,7.6,Yes
27,Duke,426,248.1,178.0,0.7142857140000001,418.0,37.8,14.6,Yes
28,Arizona,458,193.5,264.9,0.615384615,401.0,37.4,7.2,Yes
29,Alabama,454,248.5,205.6,0.846153846,287.0,42.4,13.4,Yes
30,LSU,453,251.0,202.3,0.7692307690000001,341.0,38.1,7.5,Yes
31,South Carolina,452,253.8,198.5,0.846153846,350.0,34.1,3.8,Yes
32,Oklahoma State,449,276.8,171.9,0.833333333,385.0,34.9,13.4,Yes
33,UCLA,448,251.8,196.6,0.75,386.0,39.4,5.6,Yes
34,Utah State,412,233.4,178.1,0.642857143,331.0,37.9,10.3,Yes
35,UCF,442,281.6,159.9,0.923076923,362.0,35.4,10.8,Yes
